309665,10626139
309665,10626140
309698,2223618
309698,2223619
309706,4925437
309706,4925438
309710,12050755
309710,12050757
309729,15532431
309729,15532432
309730,10227600
309730,10227602
309736,11536092
309736,11536093
309739,14298690
309739,14298692
309748,4701740
309748,4701741
309765,7832904
309765,7832905
309773,9697614
309773,9697615
309786,9706396
309786,9706398
309789,8091492
309789,8091493
309798,1960939
309798,1960941
309799,8489897
309799,8489898
309826,13001323
309826,13001325
309829,4874135
309829,4874137
309830,8098754
309830,8098756
309846,13592685
309846,13592687
309855,3941497
309855,3941498
309861,7607352
309861,7607353
309871,3912644
309871,3912645
309889,16297278
309889,16297279
309901,9484128
309901,9484130
309901,11385197
309901,11385199
309913,2685912
309913,2685913
309913,7890057
309913,7890058
309918,2056894
309918,2056895
310328,7302112
310328,7302113
310335,4257059
310335,4257060
310338,9333823
310338,9333824
310349,11618504
310349,11618505
310363,5418029
310363,5418030
310365,1834805
310365,1834806
310424,7635417
310424,7635418
310425,13661545
310425,13661546
310428,15952793
310428,15952795
310443,11560868
310443,11560869
310453,11043808
310453,11043810
310627,15104340
310627,15104342
310629,7819043
310629,7819045
310652,8082896
310652,8082898
310652,11577858
310652,11577859
310652,12439823
310652,12439825
310652,13728590
310652,13728592
310654,6811706
310654,6811707
310654,7797639
310654,7797641
310655,217373
310655,217375
310657,8807150
310657,8807151
310660,11651254
310660,11651256
310663,14634471
310663,14634472
310663,210124
310663,210125
310669,11491616
310669,11491617
310672,8837364
310672,8837365
310672,10497974
310672,10497975
310677,10539867
310677,10539868
310682,11780546
310682,11780547
310684,6978037
310684,6978038
310685,14058184
310685,14058185
310687,14048581
310687,14048582
310689,7974075
310689,7974076
310690,2170020
310690,2170022
310694,10977028
310694,10977030
310695,16045322
310695,16045324
310703,6379805
310703,6379807
310705,6147273
310705,6147274
310707,579603
310707,579604
310734,12259575
310734,12259577
311155,1877735
311155,1877736
311178,8748607
311178,8748608
311183,11921440
311183,11921441
311186,14074521
311186,14074522
311187,5053104
311187,5053105
311187,5858065
311187,5858066
311226,2589225
311226,2589226
311226,6092897
311226,6092899
311253,7289378
311253,7289379
