309622,11220168
309622,11220169
309623,1292310
309624,6235502
309624,6944773
309624,6944774
309624,8516727
309624,8516728
309624,10035146
309624,10035147
309624,10035161
309625,13869355
309625,14394722
309625,14394723
309627,10459824
309628,15128197
309628,254131
309629,6190876
309629,6190877
309629,7756538
309629,7756539
309630,10793460
309630,10793461
309631,16129759
309634,1080001
309635,7380739
309635,8655233
309635,8655234
309635,9110130
309637,2562241
309637,2562242
309647,2438081
309664,1437310
309664,1437311
309665,6263707
309665,7715115
309666,14845351
309668,9028632
309669,12107475
309670,3943988
309670,4826549
309671,6486079
309671,11052957
309686,7346690
309686,12294673
309686,12294674
309691,10608740
309691,10608741
309694,8379249
309694,8379250
309694,8379262
309699,7108770
309701,3642471
309701,3642472
309705,14579235
309705,15353715
309705,16295080
309706,3273333
309706,4925438
309708,810641
309710,10692066
309711,167062
309711,167063
309713,13934767
309713,13934768
309714,2046953
309715,10142910
309715,11354387
309715,11354388
309719,1750838
309719,1750839
309724,2859638
309724,2859639
309724,3114576
309725,6653689
309725,7530986
309725,10611808
309726,14198767
309726,16485258
309729,15532432
309729,2267180
309730,6998759
309730,6998760
309733,10750638
309734,15695496
309735,3773573
309735,3773574
309735,3980143
309735,3980144
309735,5718552
309735,5718553
309739,12455043
309739,12455044
309740,2648570
309740,3075575
309740,6280795
309740,6280807
309743,8385365
309745,264401
309745,264402
309745,2505814
309745,5295321
309748,4701741
309749,13570976
309751,5492932
309751,6769829
309751,6769830
309751,7611849
309751,7611850
309753,1961228
309754,8512058
309754,8512059
309754,10331872
309756,4504700
309756,4504701
309756,4762180
309756,4762181
309758,15083625
309758,15083626
309759,2976601
309759,2976602
309759,5791128
309759,5791129
309759,7110501
309760,12662571
309760,12662572
309760,13833973
309760,13833974
309760,14359238
309760,14359252
309761,16344385
309763,12418427
309763,12418428
309763,15070148
309765,7832905
309765,8434880
309765,8434881
309767,1941742
309767,1941743
309767,2103999
309769,14557823
309773,9697615
309774,15087546
309774,15087547
309774,15997819
309786,7014893
309786,11512344
309789,8091493
309789,9886809
309789,10225312
309790,15057432
309791,6499449
309791,6499450
309791,7962652
309791,7962654
309791,8178148
309791,8178149
309793,6107639
309794,6670523
309794,6670524
309794,6897128
309795,15456123
309795,234186
309798,2271923
